State_Name,Assembly_No,Sequence_No,Name,start_date,end_date,days_in_off,delay_apt,Administrative_rule,MLC,Caretaker_CM,Constituency_No,Poll_No,Position,pid,Party,No_Terms,Turncoat,Incumbent,Recontest
Jammu_&_Kashmir,1,3,Ghulam Mohammed Sadiq,29/2/64,30/3/65,395,0,no,no,0,,,,,,,,,
Jammu_&_Kashmir,1,4,Shri Ghulam Mohammed Sadiq,30/3/65,22/2/67,694,0,no,no,0,,,,,,,,,
Jammu_&_Kashmir,2,1,Shri Ghulam Mohammed Sadiq,23/2/67,12/12/71,1753,1,no,no,0,,,,,,,,,
Jammu_&_Kashmir,2,2,Syed Mir Qasim,12/12/71,25/2/75,1171,0,no,no,0,41,0,1,,INC,,,,
Jammu_&_Kashmir,3,1,Sheikh Mohammad Abdullah,25/2/75,26/3/77,760,0,no,yes,0,,,,,,,,,
Jammu_&_Kashmir,NA,1,Governor's Rule (Lakshmi Kanth Jha),26/3/77,9/7/77,105,0,yes,no,0,,,,,,,,,
Jammu_&_Kashmir,4,1,Sheikh Mohammad Abdullah,9/7/77,8/9/82,1887,0,no,no,0,15,0,1,,JKN,,,,
Jammu_&_Kashmir,4,2,Dr Farooq Abdullah,8/9/82,4/5/83,238,0,no,no,0,,,,,,,,,
Jammu_&_Kashmir,5,1,Dr Farooq Abdullah,5/5/83,2/7/84,424,1,no,no,0,,,,,,,,,
Jammu_&_Kashmir,5,2,Shri Ghulam Mohammad Shah,2/7/84,6/3/86,612,0,no,yes,0,,,,,,,,,
Jammu_&_Kashmir,NA,2,Governor's Rule (Shri Jagmohan),6/3/86,7/11/86,246,0,yes,no,0,,,,,,,,,
Jammu_&_Kashmir,5,3,Dr Farooq Abdullah,7/11/86,24/3/87,137,0,no,no,0,15,0,1,,JKN,,,,
Jammu_&_Kashmir,6,1,Dr Farooq Abdullah,25/3/87,19/1/90,1031,1,no,no,0,15,0,1,,JKN,,,,
Jammu_&_Kashmir,NA,3,Governor's Rule (Shri Jagmohan),19/1/90,9/10/96,2455,0,yes,no,0,,,,,,,,,
